deliverable_id:ID(Deliverable),title,deliverableType
101039048_1_DELIVHORIZON,Data management plan,"Documents, reports"
101039103_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039110_1_DELIVHORIZON,Data management plan,"Documents, reports"
101039152_2_DELIVHORIZON,Data Management Plan,Data Management Plan
101039196_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039198_1_DELIVHORIZON,Data management plan,Data Management Plan
101039208_1_DELIVHORIZON,Data management plan,"Documents, reports"
101039221_1_DELIVHORIZON,Scientific Strategy,"Documents, reports"
101039222_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039226_1_DELIVHORIZON,Data management plan,"Documents, reports"
101039271_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039339_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039348_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039361_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039375_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039376_1_DELIVHORIZON,Data Management Plan,Other
101039378_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039399_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039421_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039429_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039436_1_DELIVHORIZON,Data Management plan,
101039438_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039446_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039452_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039455_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039467_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039493_1_DELIVHORIZON,Drafting of Data Management Plan,"Documents, reports"
101039522_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039524_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039532_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039541_1_DELIVHORIZON,Data Management Plan,Other
101039556_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039567_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039572_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039583_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039588_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039592_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039636_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039648_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039651_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039655_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039657_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039672_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039676_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039692_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039711_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039716_1_DELIVHORIZON,Data management plan,"Documents, reports"
101039746_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039748_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039760_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039777_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039795_1_DELIVHORIZON,Data Management Plan,Other
101039802_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039824_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039843_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039844_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039862_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039913_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039920_1_DELIVHORIZON,Data Management Plan,
101039927_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039928_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101039986_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101039998_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040021_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040024_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040035_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040037_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040088_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040117_1_DELIVHORIZON,Data management plan,"Documents, reports"
101040122_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040152_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040160_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040169_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040188_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040227_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040254_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040270_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040297_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040302_1_DELIVHORIZON,Data management plan,"Documents, reports"
101040311_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040341_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040353_1_DELIVHORIZON,Data Management Plan,"Data sets, microdata, etc"
101040355_1_DELIVHORIZON,Data Management Plan,
101040356_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040376_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040379_1_DELIVHORIZON,Data management Plan,"Documents, reports"
101040394_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040409_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040461_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040462_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040472_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040475_1_DELIVHORIZON,Data Management Plan (DMP),"Documents, reports"
101040507_1_DELIVHORIZON,Drafting of Data Management Plan,Data Management Plan
101040534_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040547_1_DELIVHORIZON,DATA MANAGEMENT PLAN,"Documents, reports"
101040572_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040624_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040651_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040660_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040669_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040681_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040710_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040759_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040760_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040798_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040822_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040823_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040858_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040907_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040939_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040948_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040951_1_DELIVHORIZON,DATA MANAGEMENT PLAN,"Documents, reports"
101040977_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040991_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101040994_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101040999_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041029_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041064_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041069_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041074_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041087_1_DELIVHORIZON,Data Plan Management,Data Management Plan
101041092_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101041109_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041122_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101041131_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041145_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101041192_1_DELIVHORIZON,D1,"Documents, reports"
101041207_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041208_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041229_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101041231_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041245_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041249_1_DELIVHORIZON,Open Research Data,Data Management Plan
101041250_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041298_1_DELIVHORIZON,Data management plan,Other
101041331_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101041342_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041354_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041375_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101041376_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101041421_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041424_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041435_1_DELIVHORIZON,Data Management Plan DMP,"Documents, reports"
101041484_1_DELIVHORIZON,Data Management Plan,"Data sets, microdata, etc"
101041487_1_DELIVHORIZON,Drafting of Data Managment Plan,"Documents, reports"
101041491_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101041517_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041596_1_DELIVHORIZON,Data management plan,"Data sets, microdata, etc"
101041658_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041669_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101041696_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101041711_1_DELIVHORIZON,Data Management Plan,Data Management Plan
