:START_ID(Project),:END_ID(Deliverable)
"- Exploitation activities (make concrete use of results): targeting the stakeholders which might take part in the exploitation of the project results towards the foreseeable outcomes (e.g. industry in the development of new products), these actions might rely in the Protection of Intellectual Property and take place from the end of the project (or as soon as there are exploitable results). Examples of such activities include e.g. roadmaps, patents, prototypes, regulatory recommendations, experimental datasets",101122276_47_DELIVHORIZON
"-cities and municipalities with the aim of holistic transformation to a smart and carbon neutral future (PUB), -public utilities (PU), -public and private housing companies (HOU), -businesses and start-ups for the Green Deal (BU), NGOs / NPOs ... as well as -policy makers (PO) at all levels (in Neuperlach, Munich and Europe). The final Replication Strategy will include the main tested and evaluated methods and results based on: NEB-processes:- NEBourhoods holistic approach for urban development (PUB, PO, education)- Transition-Hub methodology: integrating the cultural and creative dimension into a quadruple-helix co-creation process of urban transition led by NEB principles (WP2) (PUB, PO, education, EX)- Entrepreneurship process for empowering the Green Deal integrated in urban development - with a special focus on reaching out to a broader group of people beyond the """"innovation bubble"""" (WP3) (PUB, PO, BU)NEB-actions:- ‘Animal-Aided-Design Toolbox’ and ‘Ecolope Design tool’ for increasing bio-diversity in (built-up) urban areas (PUB, HOU, BU)- ‘Renewable Energy Services’ (RES) by Energy Communities as well as an element of multifunctional NEB-solutions (PUB, PU, NGO/NPO) - ‘Public and public-private space planning and design’ to a) foster social interaction and a sense of belonging (special focus on youth in T5.5), b) enable multifunctional use (e.g. shading and RES), c) enable climate adaptation with multifunctional green infrastructure (linked to food chains) d) contribute to public (private) space design delivered by T5.2 “Mobility Hub” (PUB, HOU, NGO, BU)-  ‘Circularity roadmap’ with a focus on non-housing as well as methods for redesigned housing stocks from the 1960s and 70s based on NEB-principlesIt also includes the further design, integration and implementation of ‘’NEBourhood activities’’ in the Integrated Action Concepts (‘Integriertes Handlungsraumkonzept’ – IHRK) in Neuperlach and other areas of the City of Munich (as appropriate).",101080052_36_DELIVHORIZON
"-cities and municipalities with the aim of holistic transformation to a smart and carbon neutral future (PUB), -public utilities (PU), -public and private housing companies (HOU), -businesses and start-ups for the Green Deal (BU), NGOs / NPOs ... as well as -policy makers (PO) at all levels (in Neuperlach, Munich and Europe). The final Replication Strategy will include the main tested and evaluated methods and results based on: NEB-processes:- NEBourhoods holistic approach for urban development (PUB, PO, education)- Transition-Hub methodology: integrating the cultural and creative dimension into a quadruple-helix co-creation process of urban transition led by NEB principles (WP2) (PUB, PO, education, EX)- Entrepreneurship program for delivering the Green Deal integrated in urban development - with a special focus on reaching out to a broader group of people beyond the """"innovation bubble"""" (WP3) (PUB, PO, BU)NEB-actions:- ‘Animal-Aided-Design Toolbox’ and ‘Ecolope Design tool’ for increasing bio-diversity in (built-up) urban areas (PUB, HOU, BU)- ‘Renewable Energy Services’ (RES) by Energy Communities as well as an element of multifunctional NEB-solutions (PUB, PU, NGO/NPO) - ‘Public and public-private space planning and design’ to a) foster social interaction and a sense of belonging (special focus on youth in T5.5), b) enable multifunctional use (e.g. shading and RES), c) enable climate adaptation with multifunctional green infrastructure (linked to food chains) d) contribute to public (private) space design delivered by T5.2 “Mobility Hub” (PUB, HOU, NGO, BU)-  ‘Circularity roadmap’ with a focus on non-housing as well as methods for redesigned housing stocks from the 1960s and 70s based on NEB-principlesIt also includes the further design, integration and implementation of ‘’NEBourhood activities’’ in the Integrated Action Concepts (‘Integriertes Handlungsraumkonzept’ – IHRK) in Neuperlach and other areas of the City of Munich (as appropriate).",101080052_38_DELIVHORIZON
101039048,101039048_1_DELIVHORIZON
101039103,101039103_1_DELIVHORIZON
101039110,101039110_1_DELIVHORIZON
101039152,101039152_2_DELIVHORIZON
101039196,101039196_1_DELIVHORIZON
101039198,101039198_1_DELIVHORIZON
101039208,101039208_1_DELIVHORIZON
