:START_ID(Project),:END_ID(Publication)
101039048,101039048_24511_PUBLIHORIZON
101039048,101039048_24512_PUBLIHORIZON
101039066,101039066_10364_PUBLIHORIZON
101039066,101039066_10366_PUBLIHORIZON
101039066,101039066_196589_PUBLIHORIZON
101039066,101039066_196590_PUBLIHORIZON
101039066,101039066_19895_PUBLIHORIZON
101039066,101039066_211828_PUBLIHORIZON
101039066,101039066_214304_PUBLIHORIZON
101039066,101039066_214305_PUBLIHORIZON
101039066,101039066_27852_PUBLIHORIZON
101039066,101039066_27853_PUBLIHORIZON
101039066,101039066_287438_PUBLIHORIZON
101039066,101039066_34345_PUBLIHORIZON
101039066,101039066_40741_PUBLIHORIZON
101039066,101039066_43558_PUBLIHORIZON
101039066,101039066_49205_PUBLIHORIZON
101039066,101039066_5060_PUBLIHORIZON
101039066,101039066_96355_PUBLIHORIZON
101039090,101039090_30441_PUBLIHORIZON
101039090,101039090_30442_PUBLIHORIZON
101039090,101039090_30443_PUBLIHORIZON
101039090,101039090_30444_PUBLIHORIZON
101039090,101039090_30445_PUBLIHORIZON
101039090,101039090_30446_PUBLIHORIZON
101039090,101039090_30447_PUBLIHORIZON
101039090,101039090_30448_PUBLIHORIZON
101039090,101039090_30449_PUBLIHORIZON
101039090,101039090_30450_PUBLIHORIZON
101039090,101039090_30451_PUBLIHORIZON
101039090,101039090_30452_PUBLIHORIZON
101039098,101039098_152012_PUBLIHORIZON
101039098,101039098_152013_PUBLIHORIZON
101039098,101039098_152014_PUBLIHORIZON
101039098,101039098_152015_PUBLIHORIZON
101039098,101039098_152016_PUBLIHORIZON
101039098,101039098_152017_PUBLIHORIZON
101039098,101039098_152018_PUBLIHORIZON
101039098,101039098_152019_PUBLIHORIZON
101039098,101039098_152021_PUBLIHORIZON
101039103,101039103_117690_PUBLIHORIZON
101039103,101039103_117691_PUBLIHORIZON
101039103,101039103_117692_PUBLIHORIZON
101039103,101039103_117693_PUBLIHORIZON
101039103,101039103_117694_PUBLIHORIZON
101039103,101039103_117695_PUBLIHORIZON
101039103,101039103_117696_PUBLIHORIZON
101039103,101039103_117697_PUBLIHORIZON
101039103,101039103_117698_PUBLIHORIZON
101039103,101039103_117699_PUBLIHORIZON
101039103,101039103_117700_PUBLIHORIZON
101039103,101039103_117701_PUBLIHORIZON
101039103,101039103_117702_PUBLIHORIZON
101039103,101039103_117703_PUBLIHORIZON
101039103,101039103_117704_PUBLIHORIZON
101039103,101039103_117705_PUBLIHORIZON
101039103,101039103_117706_PUBLIHORIZON
101039103,101039103_117707_PUBLIHORIZON
101039103,101039103_117708_PUBLIHORIZON
101039103,101039103_117709_PUBLIHORIZON
101039103,101039103_117710_PUBLIHORIZON
101039110,101039110_42321_PUBLIHORIZON
101039110,101039110_42322_PUBLIHORIZON
101039110,101039110_42323_PUBLIHORIZON
101039110,101039110_42324_PUBLIHORIZON
101039115,101039115_111884_PUBLIHORIZON
101039115,101039115_111885_PUBLIHORIZON
101039115,101039115_111886_PUBLIHORIZON
101039115,101039115_111887_PUBLIHORIZON
101039115,101039115_113875_PUBLIHORIZON
101039115,101039115_119975_PUBLIHORIZON
101039115,101039115_198031_PUBLIHORIZON
101039115,101039115_198032_PUBLIHORIZON
101039127,101039127_86560_PUBLIHORIZON
101039127,101039127_86561_PUBLIHORIZON
101039127,101039127_86562_PUBLIHORIZON
101039127,101039127_86563_PUBLIHORIZON
101039127,101039127_86564_PUBLIHORIZON
101039127,101039127_86565_PUBLIHORIZON
101039127,101039127_86566_PUBLIHORIZON
101039127,101039127_86567_PUBLIHORIZON
101039127,101039127_86568_PUBLIHORIZON
101039127,101039127_86569_PUBLIHORIZON
101039145,101039145_22741_PUBLIHORIZON
101039145,101039145_22742_PUBLIHORIZON
101039152,101039152_160040_PUBLIHORIZON
101039174,101039174_106987_PUBLIHORIZON
101039174,101039174_210509_PUBLIHORIZON
101039174,101039174_210510_PUBLIHORIZON
101039174,101039174_268989_PUBLIHORIZON
101039181,101039181_214706_PUBLIHORIZON
101039181,101039181_86982_PUBLIHORIZON
101039181,101039181_86983_PUBLIHORIZON
101039181,101039181_86995_PUBLIHORIZON
101039181,101039181_86996_PUBLIHORIZON
101039181,101039181_86997_PUBLIHORIZON
101039181,101039181_86998_PUBLIHORIZON
101039181,101039181_86999_PUBLIHORIZON
101039181,101039181_87000_PUBLIHORIZON
101039196,101039196_134719_PUBLIHORIZON
101039196,101039196_134720_PUBLIHORIZON
101039196,101039196_44622_PUBLIHORIZON
101039196,101039196_44623_PUBLIHORIZON
101039196,101039196_44624_PUBLIHORIZON
101039196,101039196_44625_PUBLIHORIZON
101039196,101039196_44626_PUBLIHORIZON
101039196,101039196_44627_PUBLIHORIZON
101039196,101039196_44628_PUBLIHORIZON
101039196,101039196_44641_PUBLIHORIZON
101039198,101039198_117395_PUBLIHORIZON
101039198,101039198_117396_PUBLIHORIZON
101039198,101039198_155760_PUBLIHORIZON
101039198,101039198_157327_PUBLIHORIZON
101039198,101039198_157328_PUBLIHORIZON
101039198,101039198_69386_PUBLIHORIZON
101039198,101039198_69387_PUBLIHORIZON
101039198,101039198_69388_PUBLIHORIZON
101039198,101039198_69389_PUBLIHORIZON
101039198,101039198_69390_PUBLIHORIZON
101039198,101039198_69391_PUBLIHORIZON
101039198,101039198_85492_PUBLIHORIZON
101039206,101039206_146363_PUBLIHORIZON
101039206,101039206_99835_PUBLIHORIZON
101039206,101039206_99836_PUBLIHORIZON
101039206,101039206_99837_PUBLIHORIZON
101039208,101039208_49841_PUBLIHORIZON
101039208,101039208_49861_PUBLIHORIZON
101039208,101039208_50482_PUBLIHORIZON
101039208,101039208_50483_PUBLIHORIZON
101039208,101039208_50501_PUBLIHORIZON
101039208,101039208_50502_PUBLIHORIZON
101039208,101039208_50521_PUBLIHORIZON
101039208,101039208_50522_PUBLIHORIZON
101039208,101039208_50542_PUBLIHORIZON
101039208,101039208_50544_PUBLIHORIZON
101039208,101039208_50545_PUBLIHORIZON
101039208,101039208_50546_PUBLIHORIZON
101039208,101039208_50553_PUBLIHORIZON
101039208,101039208_65646_PUBLIHORIZON
101039208,101039208_65647_PUBLIHORIZON
101039222,101039222_120708_PUBLIHORIZON
101039222,101039222_120709_PUBLIHORIZON
101039222,101039222_120710_PUBLIHORIZON
101039222,101039222_120711_PUBLIHORIZON
101039226,101039226_148401_PUBLIHORIZON
101039226,101039226_77142_PUBLIHORIZON
101039226,101039226_77143_PUBLIHORIZON
101039226,101039226_77144_PUBLIHORIZON
101039226,101039226_77145_PUBLIHORIZON
101039252,101039252_51708_PUBLIHORIZON
101039252,101039252_51717_PUBLIHORIZON
101039252,101039252_51718_PUBLIHORIZON
101039252,101039252_51719_PUBLIHORIZON
101039265,101039265_72347_PUBLIHORIZON
101039270,101039270_251762_PUBLIHORIZON
101039271,101039271_72762_PUBLIHORIZON
101039271,101039271_72763_PUBLIHORIZON
101039272,101039272_64827_PUBLIHORIZON
101039294,101039294_145763_PUBLIHORIZON
101039294,101039294_74480_PUBLIHORIZON
101039303,101039303_21564_PUBLIHORIZON
101039303,101039303_29300_PUBLIHORIZON
101039303,101039303_29301_PUBLIHORIZON
101039303,101039303_29302_PUBLIHORIZON
101039303,101039303_29303_PUBLIHORIZON
101039303,101039303_29304_PUBLIHORIZON
101039303,101039303_29541_PUBLIHORIZON
101039303,101039303_29543_PUBLIHORIZON
101039303,101039303_29544_PUBLIHORIZON
101039303,101039303_29599_PUBLIHORIZON
101039303,101039303_29607_PUBLIHORIZON
101039303,101039303_29608_PUBLIHORIZON
101039303,101039303_29609_PUBLIHORIZON
101039303,101039303_31130_PUBLIHORIZON
101039303,101039303_31132_PUBLIHORIZON
101039303,101039303_31145_PUBLIHORIZON
101039303,101039303_31181_PUBLIHORIZON
101039303,101039303_31195_PUBLIHORIZON
101039303,101039303_31196_PUBLIHORIZON
101039303,101039303_31197_PUBLIHORIZON
101039303,101039303_31198_PUBLIHORIZON
101039303,101039303_31200_PUBLIHORIZON
101039303,101039303_31201_PUBLIHORIZON
101039303,101039303_31319_PUBLIHORIZON
101039303,101039303_9407_PUBLIHORIZON
101039303,101039303_97064_PUBLIHORIZON
101039303,101039303_97078_PUBLIHORIZON
101039303,101039303_97088_PUBLIHORIZON
101039303,101039303_97135_PUBLIHORIZON
101039303,101039303_97713_PUBLIHORIZON
101039303,101039303_97714_PUBLIHORIZON
101039303,101039303_97726_PUBLIHORIZON
101039303,101039303_97728_PUBLIHORIZON
101039303,101039303_97729_PUBLIHORIZON
101039303,101039303_97732_PUBLIHORIZON
101039320,101039320_19986_PUBLIHORIZON
101039320,101039320_19987_PUBLIHORIZON
101039320,101039320_19988_PUBLIHORIZON
101039320,101039320_24073_PUBLIHORIZON
101039320,101039320_85335_PUBLIHORIZON
101039339,101039339_158996_PUBLIHORIZON
101039339,101039339_158997_PUBLIHORIZON
101039339,101039339_159000_PUBLIHORIZON
101039339,101039339_159001_PUBLIHORIZON
101039339,101039339_159002_PUBLIHORIZON
101039339,101039339_214922_PUBLIHORIZON
101039339,101039339_214923_PUBLIHORIZON
101039339,101039339_214924_PUBLIHORIZON
101039339,101039339_28384_PUBLIHORIZON
101039339,101039339_294477_PUBLIHORIZON
101039339,101039339_98840_PUBLIHORIZON
101039339,101039339_98848_PUBLIHORIZON
101039339,101039339_98849_PUBLIHORIZON
101039339,101039339_98850_PUBLIHORIZON
101039348,101039348_143881_PUBLIHORIZON
101039348,101039348_31318_PUBLIHORIZON
101039348,101039348_75083_PUBLIHORIZON
101039349,101039349_136373_PUBLIHORIZON
101039354,101039354_113337_PUBLIHORIZON
101039354,101039354_37081_PUBLIHORIZON
101039354,101039354_37082_PUBLIHORIZON
101039361,101039361_77273_PUBLIHORIZON
101039361,101039361_77274_PUBLIHORIZON
101039361,101039361_77275_PUBLIHORIZON
101039375,101039375_93826_PUBLIHORIZON
101039375,101039375_93827_PUBLIHORIZON
101039375,101039375_93828_PUBLIHORIZON
101039375,101039375_93829_PUBLIHORIZON
101039375,101039375_93830_PUBLIHORIZON
101039375,101039375_93831_PUBLIHORIZON
101039375,101039375_93832_PUBLIHORIZON
101039376,101039376_52026_PUBLIHORIZON
101039376,101039376_52027_PUBLIHORIZON
101039376,101039376_52028_PUBLIHORIZON
101039376,101039376_52029_PUBLIHORIZON
101039376,101039376_52087_PUBLIHORIZON
101039376,101039376_52089_PUBLIHORIZON
101039376,101039376_52090_PUBLIHORIZON
101039376,101039376_54957_PUBLIHORIZON
101039378,101039378_123150_PUBLIHORIZON
101039378,101039378_123151_PUBLIHORIZON
101039378,101039378_123152_PUBLIHORIZON
101039378,101039378_123153_PUBLIHORIZON
101039378,101039378_130256_PUBLIHORIZON
101039399,101039399_140707_PUBLIHORIZON
101039399,101039399_75975_PUBLIHORIZON
101039402,101039402_204165_PUBLIHORIZON
101039402,101039402_204166_PUBLIHORIZON
101039402,101039402_204167_PUBLIHORIZON
101039416,101039416_150026_PUBLIHORIZON
101039416,101039416_80255_PUBLIHORIZON
101039416,101039416_80256_PUBLIHORIZON
101039416,101039416_80257_PUBLIHORIZON
101039421,101039421_139452_PUBLIHORIZON
101039421,101039421_20448_PUBLIHORIZON
101039421,101039421_20449_PUBLIHORIZON
101039421,101039421_20450_PUBLIHORIZON
101039421,101039421_20451_PUBLIHORIZON
101039421,101039421_88420_PUBLIHORIZON
101039426,101039426_125852_PUBLIHORIZON
101039426,101039426_125853_PUBLIHORIZON
101039426,101039426_127534_PUBLIHORIZON
101039426,101039426_127535_PUBLIHORIZON
101039426,101039426_127536_PUBLIHORIZON
101039429,101039429_109948_PUBLIHORIZON
101039429,101039429_109949_PUBLIHORIZON
101039429,101039429_109950_PUBLIHORIZON
101039429,101039429_109958_PUBLIHORIZON
101039429,101039429_109959_PUBLIHORIZON
101039429,101039429_109960_PUBLIHORIZON
101039429,101039429_109961_PUBLIHORIZON
101039429,101039429_109962_PUBLIHORIZON
101039429,101039429_111006_PUBLIHORIZON
101039429,101039429_200889_PUBLIHORIZON
101039429,101039429_200890_PUBLIHORIZON
101039429,101039429_200891_PUBLIHORIZON
101039429,101039429_200892_PUBLIHORIZON
101039429,101039429_200893_PUBLIHORIZON
101039429,101039429_200894_PUBLIHORIZON
101039429,101039429_200902_PUBLIHORIZON
101039433,101039433_168715_PUBLIHORIZON
101039433,101039433_168716_PUBLIHORIZON
101039433,101039433_168717_PUBLIHORIZON
101039433,101039433_172389_PUBLIHORIZON
101039436,101039436_32734_PUBLIHORIZON
101039436,101039436_37002_PUBLIHORIZON
101039436,101039436_37003_PUBLIHORIZON
101039436,101039436_37004_PUBLIHORIZON
101039436,101039436_37005_PUBLIHORIZON
101039436,101039436_37006_PUBLIHORIZON
101039436,101039436_37007_PUBLIHORIZON
101039436,101039436_37008_PUBLIHORIZON
101039436,101039436_37009_PUBLIHORIZON
101039436,101039436_37010_PUBLIHORIZON
101039436,101039436_37011_PUBLIHORIZON
101039436,101039436_37012_PUBLIHORIZON
101039436,101039436_37013_PUBLIHORIZON
101039438,101039438_73223_PUBLIHORIZON
101039438,101039438_73224_PUBLIHORIZON
101039438,101039438_73226_PUBLIHORIZON
101039438,101039438_73227_PUBLIHORIZON
101039438,101039438_73229_PUBLIHORIZON
