project_id:ID(Project),acronym,title,status
"- Exploitation activities (make concrete use of results): targeting the stakeholders which might take part in the exploitation of the project results towards the foreseeable outcomes (e.g. industry in the development of new products), these actions might rely in the Protection of Intellectual Property and take place from the end of the project (or as soon as there are exploitable results). Examples of such activities include e.g. roadmaps, patents, prototypes, regulatory recommendations, experimental datasets",,,
"-cities and municipalities with the aim of holistic transformation to a smart and carbon neutral future (PUB), -public utilities (PU), -public and private housing companies (HOU), -businesses and start-ups for the Green Deal (BU), NGOs / NPOs ... as well as -policy makers (PO) at all levels (in Neuperlach, Munich and Europe). The final Replication Strategy will include the main tested and evaluated methods and results based on: NEB-processes:- NEBourhoods holistic approach for urban development (PUB, PO, education)- Transition-Hub methodology: integrating the cultural and creative dimension into a quadruple-helix co-creation process of urban transition led by NEB principles (WP2) (PUB, PO, education, EX)- Entrepreneurship process for empowering the Green Deal integrated in urban development - with a special focus on reaching out to a broader group of people beyond the """"innovation bubble"""" (WP3) (PUB, PO, BU)NEB-actions:- ‘Animal-Aided-Design Toolbox’ and ‘Ecolope Design tool’ for increasing bio-diversity in (built-up) urban areas (PUB, HOU, BU)- ‘Renewable Energy Services’ (RES) by Energy Communities as well as an element of multifunctional NEB-solutions (PUB, PU, NGO/NPO) - ‘Public and public-private space planning and design’ to a) foster social interaction and a sense of belonging (special focus on youth in T5.5), b) enable multifunctional use (e.g. shading and RES), c) enable climate adaptation with multifunctional green infrastructure (linked to food chains) d) contribute to public (private) space design delivered by T5.2 “Mobility Hub” (PUB, HOU, NGO, BU)-  ‘Circularity roadmap’ with a focus on non-housing as well as methods for redesigned housing stocks from the 1960s and 70s based on NEB-principlesIt also includes the further design, integration and implementation of ‘’NEBourhood activities’’ in the Integrated Action Concepts (‘Integriertes Handlungsraumkonzept’ – IHRK) in Neuperlach and other areas of the City of Munich (as appropriate).",,,
"-cities and municipalities with the aim of holistic transformation to a smart and carbon neutral future (PUB), -public utilities (PU), -public and private housing companies (HOU), -businesses and start-ups for the Green Deal (BU), NGOs / NPOs ... as well as -policy makers (PO) at all levels (in Neuperlach, Munich and Europe). The final Replication Strategy will include the main tested and evaluated methods and results based on: NEB-processes:- NEBourhoods holistic approach for urban development (PUB, PO, education)- Transition-Hub methodology: integrating the cultural and creative dimension into a quadruple-helix co-creation process of urban transition led by NEB principles (WP2) (PUB, PO, education, EX)- Entrepreneurship program for delivering the Green Deal integrated in urban development - with a special focus on reaching out to a broader group of people beyond the """"innovation bubble"""" (WP3) (PUB, PO, BU)NEB-actions:- ‘Animal-Aided-Design Toolbox’ and ‘Ecolope Design tool’ for increasing bio-diversity in (built-up) urban areas (PUB, HOU, BU)- ‘Renewable Energy Services’ (RES) by Energy Communities as well as an element of multifunctional NEB-solutions (PUB, PU, NGO/NPO) - ‘Public and public-private space planning and design’ to a) foster social interaction and a sense of belonging (special focus on youth in T5.5), b) enable multifunctional use (e.g. shading and RES), c) enable climate adaptation with multifunctional green infrastructure (linked to food chains) d) contribute to public (private) space design delivered by T5.2 “Mobility Hub” (PUB, HOU, NGO, BU)-  ‘Circularity roadmap’ with a focus on non-housing as well as methods for redesigned housing stocks from the 1960s and 70s based on NEB-principlesIt also includes the further design, integration and implementation of ‘’NEBourhood activities’’ in the Integrated Action Concepts (‘Integriertes Handlungsraumkonzept’ – IHRK) in Neuperlach and other areas of the City of Munich (as appropriate).",,,
101039048,GanESS,Gaseous detectors for neutrino physics at the European Spallation Source,SIGNED
101039060,PalaeOrigins,Tracing the Epipalaeolithic origins of plant management in southwest Asia,SIGNED
101039066,ForestFuture,Climate change impacts on trees reproduction and forecasts of forest recruitment change,SIGNED
101039090,TOPS,Machine-Assisted Teaching for Open-Ended Problem Solving: Foundations and Applications,SIGNED
101039098,QUANTWIST,Enhanced quantum resilience through twists,SIGNED
101039103,EMetBrown,Brownian Motion near Soft Interfaces,SIGNED
101039110,UNIFY,Unification of the best piezoelectric and photovoltaic properties in a single photoferroelectric material,SIGNED
101039115,NextMechMod,Next generation mechanistic models of retinal interneurons,SIGNED
101039127,NanoNonEq,Nanoprobes for Nonequilibrium Driven Systems,SIGNED
101039145,InsulaBodyLoop,The Insula-Body Loop for Neural Control of Gut Physiology,SIGNED
101039152,TICKLISHUMAN,The neuroscience of human tickle perception,SIGNED
101039174,FINALphagy,Final act of the autophagy symphony: Whole-organism orchestration of autophagy termination,SIGNED
101039181,SEDAHEAD,"Dynamic river catchments in a Global Change context: assessing the present, preparing for the future",SIGNED
101039196,CRETE,Certified Refinement Types,SIGNED
101039198,SURFACE,Towards Future Interfaces With Tuneable Adhesion By Dynamic Excitation,SIGNED
101039206,ATENA,"Autobiographical memory, time and environmental navigation: unveiling the cognitive map of our past through an integrated neuropsychological perspective",SIGNED
101039208,REGINDEX,Compressed Indexes for Regular Languages with Applications to Computational Pan-genomics,SIGNED
101039221,ERC VP CSA,Support to the Vice-Presidents of the ERC Scientific Council 2021-2022,TERMINATED
101039222,SUperSAFE,SUrrogate measures for SAFE autonomous and connected mobility,SIGNED
101039226,ITDA,An integrated theory of deciding and acting,SIGNED
101039252,P3OPLE,Peers and Possible Partners: Exploring the Origins of Population Long-term Equilibria,SIGNED
101039265,LymphoTOP,Deciphering translocation-based genome topology effects and their role in lymphoma formation,SIGNED
101039270,ERA-ARE,A new ERA for Environmental Risk Assessment: Chirality as a tool towards environmentally safe pharmaceuticals,SIGNED
101039271,BEFOREtheFLOOD,Neolithic coastal settlements and responses to environmental dynamics: A pioneering world lost beneath the Mediterranean Sea,SIGNED
101039272,DOPAMICS,Domestication and adaptation in Neotropical palms: a microevolutionary history,SIGNED
101039294,LCFlow,Liquid Crystals in Flow: A New Era in Sensing and Diagnostics,SIGNED
101039296,SELFRELIANCE,The Social Dilemma of Self-Reliance,TERMINATED
101039303,NG-NLG,Next-Generation Natural Language Generation,SIGNED
101039320,MEGI CD,Metabolic Gut Inflammation in Crohn's disease,SIGNED
101039339,eWaveShaper,Spatio-temporal shaping of electron wavepackets for time-domain electron holography,SIGNED
101039348,PASSAGE,Provenance And tranSport PathwayS of mArine proxy-bearinG particlEs,SIGNED
101039349,G-CYBERHEART,Computationally and experimentallY BioEngineeRing the next generation of Growing HEARTs,SIGNED
101039354,SynTra,Controlling Gene Expression with Synthetic Cell-Penetrating Transcription Factors,SIGNED
101039361,CORSAIR,Controlled subradiance in atomic arrays,SIGNED
101039375,SQiMic,Structuring Quantum Light for Microscopy,SIGNED
101039376,INFLUX,Emerging pests and pathogens as a novel lens for unravelling social-ecological cascades,SIGNED
101039378,NONMANUAL,Fundamentals of formal properties of nonmanuals: A quantitative approach,SIGNED
101039399,4SBATT,Sustainable Solid State Sodium Batteries,SIGNED
101039402,FLORA,Sustainable and healthy food solutions: system dynamics and trade-offs,SIGNED
101039416,Fashioning Sudan,Archaeology of Dress along the Middle Nile,SIGNED
