:ID(Body-ID),bodyId:long,pre:int,post:int,status:string,statusLabel:string,cropped:boolean,instance:string,type:string,primaryNeurite:string,somaLocation:point{srid:9157},somaRadius:float,size:long,roiInfo:string,:LABEL,alpha1:boolean,alpha2:boolean,alpha3:boolean
6716266,6716266,59,78,Traced,Roughly traced,,KC-s,KC-s,,,,18996810,"{""alpha3"": {""pre"": 36, ""post"": 52}, ""alpha2"": {""pre"": 18, ""post"": 16}, ""alpha1"": {""pre"": 5, ""post"": 10}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
113556,113556,72,85,Traced,Roughly traced,,KC-s,KC-s,,,,26334586,"{""alpha3"": {""pre"": 45, ""post"": 48}, ""alpha2"": {""pre"": 24, ""post"": 31}, ""alpha1"": {""pre"": 3, ""post"": 6}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
2,2,918,7931,Traced,Roughly traced,,MB-APL,MB-APL,,,,1060865319,"{""alpha3"": {""pre"": 402, ""post"": 3450}, ""alpha2"": {""pre"": 372, ""post"": 3413}, ""alpha1"": {""pre"": 144, ""post"": 1055}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
75040,75040,67,100,Traced,Roughly traced,,KC-s,KC-s,,,,28280828,"{""alpha3"": {""pre"": 42, ""post"": 65}, ""alpha2"": {""pre"": 17, ""post"": 19}, ""alpha1"": {""pre"": 8, ""post"": 16}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
352987,352987,68,91,Traced,Roughly traced,,KC-s,KC-s,,,,23431792,"{""alpha3"": {""pre"": 35, ""post"": 50}, ""alpha2"": {""pre"": 20, ""post"": 26}, ""alpha1"": {""pre"": 13, ""post"": 15}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
93935,93935,58,92,Traced,Roughly traced,,KC-s,KC-s,,,,23833901,"{""alpha3"": {""pre"": 33, ""post"": 52}, ""alpha2"": {""pre"": 18, ""post"": 30}, ""alpha1"": {""pre"": 7, ""post"": 10}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
10563,10563,0,14025,Traced,Roughly traced,,MBON-14-B,MBON-14,,,,269867287,"{""alpha3"": {""post"": 13765}, ""alpha2"": {""post"": 260}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,,true,true
286760,286760,0,1,,,,,,,,,684,"{""alpha3"": {""post"": 1}}",Segment;mushroombody_Segment,,,true
124367,124367,855,2918,Traced,Traced,false,PPL1-06-B,PPL1-06,,,,411832456,"{""alpha3"": {""pre"": 851, ""post"": 2890}, ""alpha2"": {""pre"": 3, ""post"": 28}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,,true,true
569674,569674,62,86,Traced,Roughly traced,,KC-s,KC-s,,,,20975838,"{""alpha3"": {""pre"": 37, ""post"": 55}, ""alpha2"": {""pre"": 19, ""post"": 24}, ""alpha1"": {""pre"": 6, ""post"": 7}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
121758,121758,52,78,Traced,Roughly traced,,KC-c,KC-c,,,,17068067,"{""alpha3"": {""pre"": 31, ""post"": 47}, ""alpha2"": {""pre"": 14, ""post"": 15}, ""alpha1"": {""pre"": 7, ""post"": 16}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
106934,106934,52,88,Traced,Roughly traced,,KC-c,KC-c,,,,19215276,"{""alpha3"": {""pre"": 34, ""post"": 51}, ""alpha2"": {""pre"": 14, ""post"": 28}, ""alpha1"": {""pre"": 4, ""post"": 9}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
7300267,7300267,50,67,Traced,Roughly traced,,KC-c,KC-c,,,,17397580,"{""alpha3"": {""pre"": 28, ""post"": 44}, ""alpha2"": {""pre"": 14, ""post"": 11}, ""alpha1"": {""pre"": 8, ""post"": 12}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
654304,654304,62,99,Traced,Roughly traced,,KC-s,KC-s,,,,21634051,"{""alpha3"": {""pre"": 37, ""post"": 57}, ""alpha2"": {""pre"": 14, ""post"": 26}, ""alpha1"": {""pre"": 11, ""post"": 16}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
51662,51662,58,80,Traced,Roughly traced,,KC-s,KC-s,,,,18699283,"{""alpha3"": {""pre"": 24, ""post"": 45}, ""alpha2"": {""pre"": 25, ""post"": 21}, ""alpha1"": {""pre"": 9, ""post"": 14}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
104526,104526,59,78,Traced,Roughly traced,,KC-s,KC-s,,,,17536792,"{""alpha3"": {""pre"": 31, ""post"": 43}, ""alpha2"": {""pre"": 20, ""post"": 23}, ""alpha1"": {""pre"": 8, ""post"": 12}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
301352,301352,56,88,Traced,Roughly traced,,KC-any,KC-any,,,,19683915,"{""alpha3"": {""pre"": 32, ""post"": 46}, ""alpha2"": {""pre"": 16, ""post"": 30}, ""alpha1"": {""pre"": 8, ""post"": 12}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
106965,106965,0,20,Orphan,Orphan,,Others-orphan,,,,,159238,"{""alpha3"": {""post"": 20}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,,,true
400645088,400645088,2,9,Orphan,Orphan,,Others-orphan,,,,,1463583,"{""alpha3"": {""pre"": 2, ""post"": 9}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,,,true
1100888,1100888,48,65,Traced,Roughly traced,,KC-c,KC-c,,,,15584440,"{""alpha3"": {""pre"": 25, ""post"": 41}, ""alpha2"": {""pre"": 16, ""post"": 16}, ""alpha1"": {""pre"": 7, ""post"": 8}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
43752,43752,672,2277,Traced,Traced,false,PPL1-06-A,PPL1-06,,,,332694540,"{""alpha3"": {""pre"": 672, ""post"": 2277}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,,,true
107342,107342,46,65,Traced,Roughly traced,,KC-c,KC-c,,,,16051265,"{""alpha3"": {""pre"": 22, ""post"": 29}, ""alpha2"": {""pre"": 15, ""post"": 24}, ""alpha1"": {""pre"": 9, ""post"": 12}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
840617,840617,42,72,Traced,Roughly traced,,KC-c,KC-c,,,,11641910,"{""alpha3"": {""pre"": 22, ""post"": 37}, ""alpha2"": {""pre"": 13, ""post"": 22}, ""alpha1"": {""pre"": 7, ""post"": 13}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
1191623,1191623,61,84,Traced,Roughly traced,,KC-s,KC-s,,,,24617854,"{""alpha3"": {""pre"": 35, ""post"": 55}, ""alpha2"": {""pre"": 19, ""post"": 17}, ""alpha1"": {""pre"": 7, ""post"": 12}}",Segment;mushroombody_Segment;Neuron;mushroombody_Neuron,true,true,true
