run_label,algorithm,k,io_time_sec,time_partition_sec,graph_nodes,graph_edges,cut,finalobjective,bnd,balance,max_comm_vol,notes,prepare_cmd,run_cmd,output_partition_file,graph_file,node_index_file
cord19_full_structural_inputs_kahip_fast_k2,kahip_fast,2,14.4692,140.551,8820182,14033507,327234,327234,406704,1.03,327234,,prepared input: /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/opt/algorithms/kahip/bin/kaffpa /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis --k 2 --preconfiguration=fast --seed 42 --output_filename /workspace/spark/results/docker_cord19_full_structural_smoke/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k2/kahip_fast_partition_k2.txt,/workspace/spark/results/docker_cord19_full_structural_smoke/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k2/kahip_fast_partition_k2.txt,/workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/workspace/spark/results/docker_cord19_full_structural_smoke/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k2/node_index.tsv
cord19_full_structural_inputs_kahip_fast_k4,kahip_fast,4,12.2277,428.011,8820182,14033507,1253646,1253646,1220166,1.03,1106520,,prepared input: /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/opt/algorithms/kahip/bin/kaffpa /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis --k 4 --preconfiguration=fast --seed 42 --output_filename /workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k4/kahip_fast_partition_k4.txt,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k4/kahip_fast_partition_k4.txt,/workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k4/node_index.tsv
cord19_full_structural_inputs_kahip_fast_k6,kahip_fast,6,15.749,429.824,8820182,14033507,2242821,2242821,1944607,1.029999,1715798,,prepared input: /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/opt/algorithms/kahip/bin/kaffpa /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis --k 6 --preconfiguration=fast --seed 42 --output_filename /workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k6/kahip_fast_partition_k6.txt,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k6/kahip_fast_partition_k6.txt,/workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k6/node_index.tsv
cord19_full_structural_inputs_kahip_fast_k8,kahip_fast,8,9.46658,601.279,8820182,14033507,2094464,2094464,1783564,1.029999,1404073,,prepared input: /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/opt/algorithms/kahip/bin/kaffpa /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis --k 8 --preconfiguration=fast --seed 42 --output_filename /workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k8/kahip_fast_partition_k8.txt,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k8/kahip_fast_partition_k8.txt,/workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/kahip_fast_cord19_full_structural_inputs_k8/node_index.tsv
cord19_full_structural_inputs_metis_k2,metis,2,3.523,12.386,8820182,14033507,180601,180601,261495,1,180601,,prepared input: /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/opt/algorithms/metis/bin/gpmetis /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis 2,/workspace/spark/results/docker_cord19_full_structural_smoke/algorithm_outputs/metis_cord19_full_structural_inputs_k2/metis_partition_k2.txt,/workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/workspace/spark/results/docker_cord19_full_structural_smoke/algorithm_outputs/metis_cord19_full_structural_inputs_k2/node_index.tsv
cord19_full_structural_inputs_metis_k4,metis,4,3.560,16.315,8820182,14033507,748144,748144,861526,1,663180,,prepared input: /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/opt/algorithms/metis/bin/gpmetis /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis 4,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/metis_cord19_full_structural_inputs_k4/metis_partition_k4.txt,/workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/metis_cord19_full_structural_inputs_k4/node_index.tsv
cord19_full_structural_inputs_metis_k6,metis,6,4.160,18.378,8820182,14033507,847399,847399,961231,1,631102,,prepared input: /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/opt/algorithms/metis/bin/gpmetis /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis 6,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/metis_cord19_full_structural_inputs_k6/metis_partition_k6.txt,/workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/metis_cord19_full_structural_inputs_k6/node_index.tsv
cord19_full_structural_inputs_metis_k8,metis,8,4.050,17.531,8820182,14033507,1077723,1077723,1156004,1.000111,666374,,prepared input: /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/opt/algorithms/metis/bin/gpmetis /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis 8,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/metis_cord19_full_structural_inputs_k8/metis_partition_k8.txt,/workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/metis_cord19_full_structural_inputs_k8/node_index.tsv
cord19_full_structural_inputs_parmetis_k2,parmetis,2,,40.582018,8820182,14033507,182322,182322,270274,1.002064,182322,,prepared input: /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,mpirun --oversubscribe -np 4 /opt/algorithms/parmetis/bin/parmetis /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis 1 2 1000 1000.0 0 42,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/parmetis_cord19_full_structural_inputs_k2/parmetis_partition_k2.txt,/workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/parmetis_cord19_full_structural_inputs_k2/node_index.tsv
cord19_full_structural_inputs_parmetis_k4,parmetis,4,,44.757484,8820182,14033507,772270,772270,887116,1.021896,669746,,prepared input: /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,mpirun --oversubscribe -np 4 /opt/algorithms/parmetis/bin/parmetis /workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis 1 4 1000 1000.0 0 42,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/parmetis_cord19_full_structural_inputs_k4/parmetis_partition_k4.txt,/workspace/spark/datasets/cord19_full_structural_inputs/partition_prep/work/graph.metis,/workspace/spark/results/docker_cord19_full_structural_native_no_scotch/algorithm_outputs/parmetis_cord19_full_structural_inputs_k4/node_index.tsv
