dataset,algorithm,k,docker_root,materialized_path,bytes_total,files_total,partitions_total,max_partition_bytes,avg_partition_bytes,rows_written,rows_skipped,materialization_time_sec,log_file
cordis_horizon_inputs,kahip_fast,2,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/kahip_fast_cordis_horizon_inputs_k2/materialized_property_graph,342962102,20,2,171481051,171481051.00,792204,0,44.122,results/logs/materialize_cordis_horizon_inputs_kahip_fast_k2_2026-03-30_005355.log
cordis_horizon_inputs,kahip_fast,4,docker_cordis_all_k4_no_rcp,results/docker_cordis_all_k4_no_rcp/algorithm_outputs/kahip_fast_cordis_horizon_inputs_k4/materialized_property_graph,685924204,40,4,171481051,171481051.00,1584408,0,64.126,results/logs/materialize_cordis_horizon_inputs_kahip_fast_k4_2026-03-30_005355.log
cordis_horizon_inputs,kahip_fast,6,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/kahip_fast_cordis_horizon_inputs_k6/materialized_property_graph,1028886306,60,6,171481051,171481051.00,2376612,0,79.452,results/logs/materialize_cordis_horizon_inputs_kahip_fast_k6_2026-03-30_005355.log
cordis_horizon_inputs,kahip_fast,8,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/kahip_fast_cordis_horizon_inputs_k8/materialized_property_graph,1371848408,80,8,171481051,171481051.00,3168816,0,66.198,results/logs/materialize_cordis_horizon_inputs_kahip_fast_k8_2026-03-30_005503.log
cordis_horizon_inputs,metis,2,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/metis_cordis_horizon_inputs_k2/materialized_property_graph,342962102,20,2,171481051,171481051.00,792204,0,21.764,results/logs/materialize_cordis_horizon_inputs_metis_k2_2026-03-30_005518.log
cordis_horizon_inputs,metis,4,docker_cordis_all_k4_no_rcp,results/docker_cordis_all_k4_no_rcp/algorithm_outputs/metis_cordis_horizon_inputs_k4/materialized_property_graph,685924204,40,4,171481051,171481051.00,1584408,0,36.588,results/logs/materialize_cordis_horizon_inputs_metis_k4_2026-03-30_005540.log
cordis_horizon_inputs,metis,6,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/metis_cordis_horizon_inputs_k6/materialized_property_graph,1028886306,60,6,171481051,171481051.00,2376612,0,50.102,results/logs/materialize_cordis_horizon_inputs_metis_k6_2026-03-30_005613.log
cordis_horizon_inputs,metis,8,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/metis_cordis_horizon_inputs_k8/materialized_property_graph,1371848408,80,8,171481051,171481051.00,3168816,0,65.514,results/logs/materialize_cordis_horizon_inputs_metis_k8_2026-03-30_005620.log
cordis_horizon_inputs,parmetis,2,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/parmetis_cordis_horizon_inputs_k2/materialized_property_graph,342962102,20,2,171481051,171481051.00,792204,0,20.953,results/logs/materialize_cordis_horizon_inputs_parmetis_k2_2026-03-30_005708.log
cordis_horizon_inputs,parmetis,4,docker_cordis_all_k4_no_rcp,results/docker_cordis_all_k4_no_rcp/algorithm_outputs/parmetis_cordis_horizon_inputs_k4/materialized_property_graph,685924204,40,4,171481051,171481051.00,1584408,0,37.736,results/logs/materialize_cordis_horizon_inputs_parmetis_k4_2026-03-30_005728.log
cordis_horizon_inputs,parmetis,6,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/parmetis_cordis_horizon_inputs_k6/materialized_property_graph,1028886306,60,6,171481051,171481051.00,2376612,0,51.359,results/logs/materialize_cordis_horizon_inputs_parmetis_k6_2026-03-30_005731.log
cordis_horizon_inputs,parmetis,8,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/parmetis_cordis_horizon_inputs_k8/materialized_property_graph,1371848408,80,8,171481051,171481051.00,3168816,0,65.609,results/logs/materialize_cordis_horizon_inputs_parmetis_k8_2026-03-30_005808.log
cordis_horizon_inputs,ptscotch,2,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/ptscotch_cordis_horizon_inputs_k2/materialized_property_graph,342962102,20,2,171481051,171481051.00,792204,0,22.235,results/logs/materialize_cordis_horizon_inputs_ptscotch_k2_2026-03-30_005824.log
